"filename", "language", "Markdown", "JavaScript", "PHP", "CSS", "JSON", "XML", "YAML", "JavaScript JSX", "Django HTML", "comment", "blank", "total"
"z:\Projects\mstender\frontend\src\components\elements\Switch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 6, 78
"z:\Projects\mstender\frontend\src\components\elements\Textarea.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 121, 0, 4, 24, 149
"z:\Projects\mstender\frontend\src\components\elements\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"z:\Projects\mstender\frontend\src\components\layout\AdminLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"z:\Projects\mstender\frontend\src\components\layout\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"z:\Projects\mstender\frontend\src\components\layout\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 222, 0, 60, 43, 325
"z:\Projects\mstender\frontend\src\components\layout\Topbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 14, 16, 70
"z:\Projects\mstender\frontend\src\components\notifications\Notification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 3, 20
"z:\Projects\mstender\frontend\src\components\tables\AddButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"z:\Projects\mstender\frontend\src\components\tables\AddPaymentButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"z:\Projects\mstender\frontend\src\components\tables\BadgeButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 0, 24, 55, 195
"z:\Projects\mstender\frontend\src\components\tables\BulkAction.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 114, 0, 10, 25, 149
"z:\Projects\mstender\frontend\src\components\tables\CallButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"z:\Projects\mstender\frontend\src\components\tables\CloseButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"z:\Projects\mstender\frontend\src\components\tables\ConfirmDialog.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 123, 0, 21, 37, 181
"z:\Projects\mstender\frontend\src\components\tables\CopyButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 3, 18
"z:\Projects\mstender\frontend\src\components\tables\CopyLinkButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 2, 5, 35
"z:\Projects\mstender\frontend\src\components\tables\CreateGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
"z:\Projects\mstender\frontend\src\components\tables\CreateInvoiceButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 16
