"filename", "language", "PHP", "Markdown", "JavaScript", "JSON", "CSS", "JavaScript JSX", "XML", "YAML", "Django HTML", "comment", "blank", "total"
"z:\Projects\mstender\frontend\src\assets\SVG\Loading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"z:\Projects\mstender\frontend\src\common\NotificationToast.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 3, 27
"z:\Projects\mstender\frontend\src\common\UI\CardUI.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"z:\Projects\mstender\frontend\src\components\elements\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 0, 4, 7, 102
"z:\Projects\mstender\frontend\src\components\elements\Input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"z:\Projects\mstender\frontend\src\components\elements\Select.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 5, 46
"z:\Projects\mstender\frontend\src\components\elements\SelectSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 197, 0, 0, 0, 22, 33, 252
"z:\Projects\mstender\frontend\src\components\elements\SelectSearchJson.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 14, 17, 133
"z:\Projects\mstender\frontend\src\components\elements\Switch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 6, 78
"z:\Projects\mstender\frontend\src\components\elements\Textarea.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 7, 72
"z:\Projects\mstender\frontend\src\components\elements\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"z:\Projects\mstender\frontend\src\components\layout\AdminLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"z:\Projects\mstender\frontend\src\components\layout\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
